Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;12/2024;1.772.621;0;187.927;0;492;0;1.961.039;-15.893;0;0;0;-428.803;-444.696;1.516.343;16.572;26.141;-75.917;-1.128.054;-131.087;0;617.442;-354.386;-1.029.289;487.054;-84;486.970;-140.407;-2.750;343.813;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;12/2024;180.516;0;392.234;42.103;1.271.395;0;1.886.248;-116.189;-1.649.856;0;0;-1.623;-1.767.669;118.579;50.212;0;-60.646;-51.987;-17.990;0;110.630;-47.654;-17.435;101.144;364;101.508;7.212;-2.173;106.547;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;12/2024;42.358;0;858.175;811.275;70.089;0;1.781.896;-395.416;-1.088.039;0;0;-10;-1.483.465;298.432;267.581;0;-385.546;-109.332;-62.252;0;557.609;-37.592;230.468;528.900;0;528.900;-30.091;-11.572;487.237;0
BANK OF CHINA (BRASIL) - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;12/2024;837.297;60.619;320.757;-110.551;646.661;13;1.754.795;-608.513;-999.859;-44.718;0;11.442;-1.641.648;113.147;15.859;585;-81.189;-59.998;-10.760;-3.526;217.655;-149.687;-71.062;42.085;-25.163;16.922;-52.448;-2.105;-37.631;0
MIZUHO - PRUDENCIAL;1000080697;b1;S4;I;3;SAO PAULO;SP;12/2024;45.877;0;562.101;777.323;350.668;0;1.735.968;-305.833;-1.254.616;0;0;343;-1.560.106;175.862;27.007;10;-35.875;-31.692;-15.886;0;13.019;-33.165;-76.581;99.280;0;99.280;-10.973;-1.687;86.621;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;12/2024;1.560.091;0;124.836;0;13.479;23.722;1.722.127;-558.432;-19.281;0;0;-226.670;-804.383;917.744;24.479;90.357;-402.804;-292.478;-63.017;0;63.839;-77.675;-657.298;260.446;-6.136;254.310;-48.852;-37.358;168.099;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;12/2024;1.600.407;0;33.042;0;0;0;1.633.449;-208.165;-1.035.411;0;0;-463.549;-1.707.125;-73.676;6.199;457;-34.365;-32.243;-18.933;0;5.661;-417;-73.641;-147.317;6.217;-141.101;145.891;-3.889;902;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;12/2024;1.459.769;0;159.249;3.476;0;0;1.622.493;-27.011;-786.128;0;0;-218.812;-1.031.951;590.542;17.741;16.736;-137.536;-64.392;-32.236;0;18.234;-38.166;-219.619;370.923;4.190;375.113;-21.976;-10.274;342.863;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;12/2024;910.168;0;153.583;422.395;0;0;1.486.146;-169.412;-565.253;0;0;-275.658;-1.010.323;475.823;1.032.814;89.890;-23.448;-969.903;-160.257;0;249.982;-29.959;189.119;664.943;791;665.733;-254.429;0;411.304;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;12/2024;674.971;0;634.863;40.618;87.801;0;1.438.253;-902.010;-117.510;0;0;-23.464;-1.042.984;395.270;8.743;2.490;-65.361;-102.363;-12.356;41.298;36.275;-171.996;-263.270;132.000;9.926;141.926;-2.451;-7.743;131.732;0
